Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	varex kappa ratio	d_table_score_node20	classification	classification_tags
ICA_21	113.32195569292554	17.13185706373735	0.6592417874889591	0.009512633237531687	6869	5443	0.8027301728614883	0.6685025163802109	558	11.921918879125723	9.245347320986598e-31	7.0	-1	0.8809886990941797	4.4	accepted	Likely BOLD
ICA_22	150.45892325385188	18.679807190984725	1.7361301879743305	0.02123577620392868	7385	5986	0.8229828516772563	0.7121391186898531	473	6.986559393988418	5.708133278661343e-12	6.0	1	1.7474469873805691	3.0	accepted	Likely BOLD
ICA_23	101.47758068171916	17.889022138204787	0.5871251607460601	0.007169680926820124	6874	5337	0.8062151861624157	0.6936072182760606	544	11.738892171581728	5.8937228603355234e-30	7.4	-1	0.8761939650179199	4.6	accepted	Likely BOLD
ICA_24	24.808945496200582	29.39354232105222	0.8183176135221255	0.011193541728504966	4191	4124	0.5353547604608854	0.462260654725139	658	-1.8084813291955235	0.07081542546332542	26.8	-1	4.995204403440511	n/a	rejected	Unlikely BOLD
ICA_25	71.02213069737174	16.073967079200425	0.48360228637873953	0.012530736168447767	6733	4760	0.7544060425726711	0.5840237943488421	237	7.692539891567523	1.9464196250824847e-13	11.4	1	1.0311796135296296	6.6	accepted	Likely BOLD
ICA_26	107.29392045272404	17.06227325396694	0.952557920694893	0.012023788864684247	6914	5023	0.781893603085656	0.6484968272131488	554	15.47898371661688	7.703601704997092e-49	6.1	-1	1.3444849598748374	n/a	rejected	Less likely BOLD
ICA_27	51.099245138602846	18.21866792663062	0.3633793052234979	0.005300347100275608	6450	4811	0.7709453050901043	0.6168590720975822	901	11.917056108039949	4.674000620192116e-31	14.6	-1	1.0769247939060804	8.4	accepted	Likely BOLD
ICA_28	142.25697765751914	17.449135819151515	1.3756114829341837	0.013954479974031106	6711	5310	0.8009431809538298	0.7128215045445755	432	10.121477399951623	1.1981929153065465e-22	7.4	1	1.464407299511479	n/a	rejected	Less likely BOLD
ICA_29	26.39644816985675	25.681503540402133	0.6017474967933029	0.004785305792093649	4569	3244	0.6441183214858978	0.5259063326590945	991	4.662146954393453	3.7909904930280647e-06	24.4	1	3.4522995297137076	14.0	accepted	Likely BOLD
ICA_30	181.93374819641346	31.15423191188465	9.692047164345457	0.07627765717758848	5915	4411	0.727662233330358	0.637291280148423	75	2.9467396950904896	0.004181191410292301	11.8	1	8.06755476284347	n/a	rejected	Less likely BOLD
ICA_31	20.621212688966814	21.512949149099924	0.3390790229728644	0.005498785862090964	3757	3789	0.5436841403227958	0.49399339933993397	988	-0.4488897302357155	0.653686782502432	28.6	-1	2.4901550630104023	n/a	rejected	Unlikely BOLD
ICA_32	26.417168674372917	13.009332170622164	0.2816599973555238	0.0039726810953320466	4266	2976	0.655431172345922	0.4989885367498314	1289	7.362750515382073	1.0002866325010101e-11	24.8	-1	1.6146506503342606	n/a	accepted	Low variance
